phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt
5.00E-01,1024,1024,1024,INT8-GEMM,,,2.64E+02,1.49E+02
5.00E-01,1024,1024,1024,SGEMM,1.29E+00,4.71E-07,5.55E+02,7.01E+01
5.00E-01,1024,1024,1024,OS2-fast-2,9.83E+05,6.20E-01,2.59E+02,1.37E+01
5.00E-01,1024,1024,1024,OS2-fast-3,2.84E+05,5.03E-02,2.62E+02,1.05E+01
5.00E-01,1024,1024,1024,OS2-fast-4,6.45E+03,3.23E-03,2.64E+02,8.72E+00
5.00E-01,1024,1024,1024,OS2-fast-5,1.16E+03,2.03E-04,2.64E+02,7.41E+00
5.00E-01,1024,1024,1024,OS2-fast-6,4.76E+01,1.26E-05,2.66E+02,6.50E+00
5.00E-01,1024,1024,1024,OS2-fast-7,5.08E+00,7.32E-07,2.66E+02,5.80E+00
5.00E-01,1024,1024,1024,OS2-fast-8,7.02E-02,3.17E-08,2.66E+02,5.17E+00
5.00E-01,1024,1024,1024,OS2-fast-9,5.34E-04,2.08E-08,2.66E+02,4.71E+00
5.00E-01,1024,1024,1024,OS2-fast-10,8.73E-05,2.07E-08,2.66E+02,4.33E+00
5.00E-01,1024,1024,1024,OS2-fast-11,4.18E-05,2.07E-08,2.66E+02,3.95E+00
5.00E-01,1024,1024,1024,OS2-fast-12,1.13E-04,2.07E-08,2.66E+02,3.64E+00
5.00E-01,1024,1024,1024,OS2-fast-13,2.38E-05,2.07E-08,2.66E+02,3.40E+00
5.00E-01,1024,1024,1024,OS2-fast-14,1.40E-05,2.07E-08,2.67E+02,3.19E+00
5.00E-01,1024,1024,1024,OS2-fast-15,6.40E-05,2.07E-08,2.67E+02,3.01E+00
5.00E-01,1024,1024,1024,OS2-accu-2,2.46E+05,1.94E-01,2.63E+02,1.09E+01
5.00E-01,1024,1024,1024,OS2-accu-3,1.06E+04,1.29E-02,2.65E+02,8.91E+00
5.00E-01,1024,1024,1024,OS2-accu-4,1.93E+03,8.12E-04,2.66E+02,7.62E+00
5.00E-01,1024,1024,1024,OS2-accu-5,1.50E+02,5.07E-05,2.66E+02,6.65E+00
5.00E-01,1024,1024,1024,OS2-accu-6,7.21E+00,3.12E-06,2.66E+02,5.82E+00
5.00E-01,1024,1024,1024,OS2-accu-7,5.03E-01,1.49E-07,2.66E+02,5.22E+00
5.00E-01,1024,1024,1024,OS2-accu-8,8.76E-03,2.26E-08,2.67E+02,4.76E+00
5.00E-01,1024,1024,1024,OS2-accu-9,1.02E-04,2.07E-08,2.67E+02,4.38E+00
5.00E-01,1024,1024,1024,OS2-accu-10,8.94E-06,2.07E-08,2.67E+02,4.03E+00
5.00E-01,1024,1024,1024,OS2-accu-11,6.49E-06,2.07E-08,2.67E+02,3.74E+00
5.00E-01,1024,1024,1024,OS2-accu-12,2.34E-06,2.07E-08,2.68E+02,3.48E+00
5.00E-01,1024,1024,1024,OS2-accu-13,4.59E-06,2.07E-08,2.68E+02,3.26E+00
5.00E-01,1024,1024,1024,OS2-accu-14,4.95E-05,2.07E-08,2.68E+02,3.06E+00
5.00E-01,1024,1024,1024,OS2-accu-15,2.69E-05,2.07E-08,2.68E+02,2.91E+00
5.00E-01,2048,2048,2048,INT8-GEMM,,,4.07E+02,6.48E+02
5.00E-01,2048,2048,2048,SGEMM,2.32E+00,6.66E-07,7.44E+02,1.02E+02
5.00E-01,2048,2048,2048,OS2-fast-2,3.90E+05,7.12E-01,3.40E+02,7.41E+01
5.00E-01,2048,2048,2048,OS2-fast-3,6.37E+04,6.10E-02,3.65E+02,5.39E+01
5.00E-01,2048,2048,2048,OS2-fast-4,7.05E+03,3.89E-03,3.75E+02,4.29E+01
5.00E-01,2048,2048,2048,OS2-fast-5,6.96E+02,2.43E-04,3.78E+02,3.60E+01
5.00E-01,2048,2048,2048,OS2-fast-6,1.69E+01,1.51E-05,3.84E+02,3.09E+01
5.00E-01,2048,2048,2048,OS2-fast-7,2.54E+00,8.86E-07,3.86E+02,2.71E+01
5.00E-01,2048,2048,2048,OS2-fast-8,6.64E-02,3.60E-08,3.89E+02,2.41E+01
5.00E-01,2048,2048,2048,OS2-fast-9,1.35E-03,2.08E-08,3.89E+02,2.20E+01
5.00E-01,2048,2048,2048,OS2-fast-10,4.49E-05,2.07E-08,3.89E+02,2.01E+01
5.00E-01,2048,2048,2048,OS2-fast-11,9.46E-05,2.07E-08,3.89E+02,1.85E+01
5.00E-01,2048,2048,2048,OS2-fast-12,1.57E-04,2.07E-08,3.91E+02,1.70E+01
5.00E-01,2048,2048,2048,OS2-fast-13,3.38E-04,2.07E-08,3.91E+02,1.57E+01
5.00E-01,2048,2048,2048,OS2-fast-14,1.62E-04,2.07E-08,3.91E+02,1.47E+01
5.00E-01,2048,2048,2048,OS2-fast-15,7.15E-05,2.07E-08,3.92E+02,1.37E+01
5.00E-01,2048,2048,2048,OS2-accu-2,4.17E+05,2.96E-01,3.68E+02,5.60E+01
5.00E-01,2048,2048,2048,OS2-accu-3,2.05E+04,2.06E-02,3.80E+02,4.48E+01
5.00E-01,2048,2048,2048,OS2-accu-4,2.28E+03,1.29E-03,3.83E+02,3.66E+01
5.00E-01,2048,2048,2048,OS2-accu-5,1.25E+02,8.09E-05,3.86E+02,3.17E+01
5.00E-01,2048,2048,2048,OS2-accu-6,8.57E+00,5.00E-06,3.90E+02,2.75E+01
5.00E-01,2048,2048,2048,OS2-accu-7,4.18E-01,3.03E-07,3.92E+02,2.46E+01
5.00E-01,2048,2048,2048,OS2-accu-8,2.46E-02,2.50E-08,3.93E+02,2.21E+01
5.00E-01,2048,2048,2048,OS2-accu-9,4.55E-04,2.07E-08,3.92E+02,2.03E+01
5.00E-01,2048,2048,2048,OS2-accu-10,1.12E-05,2.07E-08,3.91E+02,1.87E+01
5.00E-01,2048,2048,2048,OS2-accu-11,1.74E-05,2.07E-08,3.91E+02,1.73E+01
5.00E-01,2048,2048,2048,OS2-accu-12,1.26E-05,2.07E-08,3.94E+02,1.60E+01
5.00E-01,2048,2048,2048,OS2-accu-13,2.17E-05,2.07E-08,3.94E+02,1.49E+01
5.00E-01,2048,2048,2048,OS2-accu-14,3.65E-05,2.07E-08,3.95E+02,1.39E+01
5.00E-01,2048,2048,2048,OS2-accu-15,9.39E-06,2.07E-08,3.95E+02,1.31E+01
5.00E-01,4096,4096,4096,INT8-GEMM,,,7.44E+02,1.52E+03
5.00E-01,4096,4096,4096,SGEMM,3.14E+00,9.41E-07,7.44E+02,1.34E+02
5.00E-01,4096,4096,4096,OS2-fast-2,5.04E+06,1.00E+00,5.64E+02,2.41E+02
5.00E-01,4096,4096,4096,OS2-fast-3,2.92E+06,1.40E-01,5.45E+02,1.77E+02
5.00E-01,4096,4096,4096,OS2-fast-4,2.29E+05,9.16E-03,5.64E+02,1.38E+02
5.00E-01,4096,4096,4096,OS2-fast-5,4.06E+03,5.74E-04,5.76E+02,1.14E+02
5.00E-01,4096,4096,4096,OS2-fast-6,1.13E+03,3.58E-05,5.80E+02,9.55E+01
5.00E-01,4096,4096,4096,OS2-fast-7,3.53E+01,2.18E-06,5.87E+02,8.26E+01
5.00E-01,4096,4096,4096,OS2-fast-8,1.63E+00,9.14E-08,5.96E+02,7.31E+01
5.00E-01,4096,4096,4096,OS2-fast-9,5.45E-02,2.12E-08,5.97E+02,6.61E+01
5.00E-01,4096,4096,4096,OS2-fast-10,1.13E-03,2.07E-08,6.00E+02,5.79E+01
5.00E-01,4096,4096,4096,OS2-fast-11,3.59E-04,2.07E-08,5.98E+02,5.42E+01
5.00E-01,4096,4096,4096,OS2-fast-12,1.13E-03,2.07E-08,5.94E+02,4.95E+01
5.00E-01,4096,4096,4096,OS2-fast-13,2.01E-03,2.07E-08,5.94E+02,4.63E+01
5.00E-01,4096,4096,4096,OS2-fast-14,2.61E-03,2.07E-08,5.95E+02,4.32E+01
5.00E-01,4096,4096,4096,OS2-fast-15,6.23E-03,2.07E-08,6.03E+02,4.03E+01
5.00E-01,4096,4096,4096,OS2-accu-2,1.27E+06,4.80E-01,5.91E+02,1.76E+02
5.00E-01,4096,4096,4096,OS2-accu-3,2.98E+05,3.61E-02,5.67E+02,1.42E+02
5.00E-01,4096,4096,4096,OS2-accu-4,5.01E+04,2.28E-03,5.76E+02,1.18E+02
5.00E-01,4096,4096,4096,OS2-accu-5,8.88E+02,1.43E-04,5.83E+02,9.98E+01
5.00E-01,4096,4096,4096,OS2-accu-6,5.25E+02,8.89E-06,5.94E+02,8.47E+01
5.00E-01,4096,4096,4096,OS2-accu-7,1.15E+01,4.97E-07,5.98E+02,7.29E+01
5.00E-01,4096,4096,4096,OS2-accu-8,3.37E-01,2.70E-08,6.00E+02,6.57E+01
5.00E-01,4096,4096,4096,OS2-accu-9,1.43E-02,2.07E-08,6.05E+02,5.95E+01
5.00E-01,4096,4096,4096,OS2-accu-10,5.35E-05,2.07E-08,5.99E+02,5.44E+01
5.00E-01,4096,4096,4096,OS2-accu-11,5.50E-05,2.07E-08,5.98E+02,4.99E+01
5.00E-01,4096,4096,4096,OS2-accu-12,1.62E-05,2.07E-08,6.12E+02,4.51E+01
5.00E-01,4096,4096,4096,OS2-accu-13,2.89E-04,2.07E-08,6.09E+02,4.24E+01
5.00E-01,4096,4096,4096,OS2-accu-14,6.19E-04,2.07E-08,6.06E+02,4.02E+01
5.00E-01,4096,4096,4096,OS2-accu-15,1.93E-04,2.07E-08,6.03E+02,3.78E+01
5.00E-01,8192,8192,8192,INT8-GEMM,,,7.44E+02,1.68E+03
5.00E-01,8192,8192,8192,SGEMM,5.28E+01,1.33E-06,7.44E+02,1.20E+02
5.00E-01,8192,8192,8192,OS2-fast-2,3.21E+06,1.00E+00,7.44E+02,4.11E+02
5.00E-01,8192,8192,8192,OS2-fast-3,3.16E+06,1.54E-01,7.41E+02,2.55E+02
5.00E-01,8192,8192,8192,OS2-fast-4,2.30E+05,1.01E-02,7.42E+02,1.91E+02
5.00E-01,8192,8192,8192,OS2-fast-5,1.96E+04,6.35E-04,7.44E+02,1.57E+02
5.00E-01,8192,8192,8192,OS2-fast-6,2.75E+03,3.96E-05,7.44E+02,1.32E+02
5.00E-01,8192,8192,8192,OS2-fast-7,4.33E+01,2.42E-06,7.44E+02,1.15E+02
5.00E-01,8192,8192,8192,OS2-fast-8,5.16E+00,1.03E-07,7.44E+02,1.01E+02
5.00E-01,8192,8192,8192,OS2-fast-9,4.85E-02,2.13E-08,7.44E+02,9.07E+01
5.00E-01,8192,8192,8192,OS2-fast-10,5.63E-03,2.07E-08,7.44E+02,8.28E+01
5.00E-01,8192,8192,8192,OS2-fast-11,1.39E-02,2.07E-08,7.44E+02,7.54E+01
5.00E-01,8192,8192,8192,OS2-fast-12,9.06E-03,2.07E-08,7.44E+02,6.95E+01
5.00E-01,8192,8192,8192,OS2-fast-13,4.65E-03,2.07E-08,7.44E+02,6.44E+01
5.00E-01,8192,8192,8192,OS2-fast-14,5.20E-03,2.07E-08,7.44E+02,6.06E+01
5.00E-01,8192,8192,8192,OS2-fast-15,4.86E-03,2.07E-08,7.44E+02,5.62E+01
5.00E-01,8192,8192,8192,OS2-accu-2,3.70E+07,5.30E-01,7.44E+02,2.63E+02
5.00E-01,8192,8192,8192,OS2-accu-3,1.48E+06,4.11E-02,7.22E+02,1.95E+02
5.00E-01,8192,8192,8192,OS2-accu-4,7.06E+04,2.60E-03,7.33E+02,1.59E+02
5.00E-01,8192,8192,8192,OS2-accu-5,6.76E+03,1.63E-04,7.44E+02,1.33E+02
5.00E-01,8192,8192,8192,OS2-accu-6,3.00E+02,1.01E-05,7.43E+02,1.14E+02
5.00E-01,8192,8192,8192,OS2-accu-7,1.25E+01,5.71E-07,7.44E+02,1.01E+02
5.00E-01,8192,8192,8192,OS2-accu-8,1.62E+00,4.40E-08,7.44E+02,8.93E+01
5.00E-01,8192,8192,8192,OS2-accu-9,9.55E-03,2.09E-08,7.44E+02,8.13E+01
5.00E-01,8192,8192,8192,OS2-accu-10,6.05E-04,2.07E-08,7.44E+02,7.61E+01
5.00E-01,8192,8192,8192,OS2-accu-11,9.45E-04,2.07E-08,7.44E+02,7.02E+01
5.00E-01,8192,8192,8192,OS2-accu-12,3.76E-04,2.07E-08,7.44E+02,6.50E+01
5.00E-01,8192,8192,8192,OS2-accu-13,4.91E-04,2.07E-08,7.44E+02,6.06E+01
5.00E-01,8192,8192,8192,OS2-accu-14,6.02E-04,2.07E-08,7.44E+02,5.71E+01
5.00E-01,8192,8192,8192,OS2-accu-15,5.10E-04,2.07E-08,7.44E+02,5.36E+01
5.00E-01,16384,16384,16384,INT8-GEMM,,,7.44E+02,1.60E+03
5.00E-01,16384,16384,16384,SGEMM,8.34E+02,1.88E-06,7.37E+02,1.36E+02
5.00E-01,16384,16384,16384,OS2-fast-2,2.66E+04,1.00E+00,7.44E+02,6.21E+02
5.00E-01,16384,16384,16384,OS2-fast-3,1.30E+08,2.99E-01,7.44E+02,3.28E+02
5.00E-01,16384,16384,16384,OS2-fast-4,8.69E+06,2.08E-02,7.43E+02,2.37E+02
5.00E-01,16384,16384,16384,OS2-fast-5,2.59E+05,1.31E-03,7.44E+02,1.91E+02
5.00E-01,16384,16384,16384,OS2-fast-6,3.15E+04,8.20E-05,7.44E+02,1.59E+02
5.00E-01,16384,16384,16384,OS2-fast-7,6.17E+02,5.06E-06,7.44E+02,1.38E+02
5.00E-01,16384,16384,16384,OS2-fast-8,1.30E+02,2.59E-07,7.44E+02,1.20E+02
5.00E-01,16384,16384,16384,OS2-fast-9,2.64E+00,2.27E-08,7.44E+02,1.08E+02
5.00E-01,16384,16384,16384,OS2-fast-10,4.57E-02,2.07E-08,7.44E+02,9.85E+01
5.00E-01,16384,16384,16384,OS2-fast-11,1.05E-02,2.07E-08,7.44E+02,9.09E+01
5.00E-01,16384,16384,16384,OS2-fast-12,1.87E-01,2.07E-08,7.44E+02,8.28E+01
5.00E-01,16384,16384,16384,OS2-fast-13,6.42E-02,2.07E-08,7.44E+02,7.66E+01
5.00E-01,16384,16384,16384,OS2-fast-14,2.19E-02,2.07E-08,7.43E+02,7.10E+01
5.00E-01,16384,16384,16384,OS2-fast-15,4.79E-02,2.08E-08,7.44E+02,6.69E+01
5.00E-01,16384,16384,16384,OS2-accu-2,1.29E+08,8.24E-01,7.44E+02,3.75E+02
5.00E-01,16384,16384,16384,OS2-accu-3,2.70E+07,8.01E-02,7.44E+02,2.46E+02
5.00E-01,16384,16384,16384,OS2-accu-4,1.53E+06,5.15E-03,7.44E+02,1.95E+02
5.00E-01,16384,16384,16384,OS2-accu-5,1.25E+04,3.22E-04,7.44E+02,1.64E+02
5.00E-01,16384,16384,16384,OS2-accu-6,1.04E+03,2.01E-05,7.44E+02,1.40E+02
5.00E-01,16384,16384,16384,OS2-accu-7,1.26E+02,1.22E-06,7.44E+02,1.24E+02
5.00E-01,16384,16384,16384,OS2-accu-8,4.61E+01,4.59E-08,7.44E+02,1.09E+02
5.00E-01,16384,16384,16384,OS2-accu-9,3.47E-01,2.09E-08,7.44E+02,9.95E+01
5.00E-01,16384,16384,16384,OS2-accu-10,4.89E-03,2.07E-08,7.44E+02,9.09E+01
5.00E-01,16384,16384,16384,OS2-accu-11,7.10E-03,2.07E-08,7.44E+02,8.44E+01
5.00E-01,16384,16384,16384,OS2-accu-12,6.02E-03,2.07E-08,7.44E+02,7.73E+01
5.00E-01,16384,16384,16384,OS2-accu-13,1.53E-03,2.07E-08,7.45E+02,7.19E+01
5.00E-01,16384,16384,16384,OS2-accu-14,4.81E-03,2.07E-08,7.44E+02,6.69E+01
5.00E-01,16384,16384,16384,OS2-accu-15,1.20E-03,2.07E-08,7.44E+02,6.27E+01
