phi,m,n,k,function,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,DGEMM,6.973065e-01,3.079684e-03,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-9,1.382960e+00,1.552816e-03,2.233995e-04,7.708280e-04,3.908800e-04,1.321855e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-10,1.252277e+00,1.714863e-03,2.351900e-04,8.625030e-04,4.295085e-04,1.538820e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-11,1.166553e+00,1.840879e-03,2.333220e-04,9.332860e-04,4.758210e-04,1.615470e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-12,1.077881e+00,1.992321e-03,2.468375e-04,1.027009e-03,5.127580e-04,1.694865e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-13,9.935311e-01,2.161466e-03,2.990590e-04,1.111124e-03,5.373295e-04,1.784335e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-14,9.137886e-01,2.350088e-03,3.141470e-04,1.214086e-03,6.015980e-04,1.857730e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-15,8.619261e-01,2.491494e-03,3.230450e-04,1.292000e-03,6.496575e-04,1.928870e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-16,8.119230e-01,2.644935e-03,3.382565e-04,1.385002e-03,6.843525e-04,2.009045e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-17,7.614863e-01,2.820121e-03,3.558855e-04,1.479127e-03,7.405980e-04,2.078600e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-18,7.249165e-01,2.962387e-03,3.747995e-04,1.558695e-03,7.747245e-04,2.150625e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-19,6.820691e-01,3.148484e-03,3.911650e-04,1.676181e-03,8.228650e-04,2.222285e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-20,6.535401e-01,3.285925e-03,4.188435e-04,1.745236e-03,8.575615e-04,2.291970e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-9,1.276048e+00,1.682918e-03,3.263340e-04,7.947765e-04,3.911790e-04,1.287800e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-10,1.168992e+00,1.837039e-03,3.343080e-04,8.831595e-04,4.296995e-04,1.494490e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-11,1.075632e+00,1.996486e-03,3.455780e-04,9.791315e-04,4.768070e-04,1.575115e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-12,1.006816e+00,2.132946e-03,3.566610e-04,1.072416e-03,5.131615e-04,1.530925e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-13,9.345020e-01,2.297998e-03,3.986460e-04,1.157869e-03,5.381590e-04,1.718195e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-14,8.601636e-01,2.496599e-03,4.104905e-04,1.257207e-03,6.079955e-04,1.806140e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-15,8.124066e-01,2.643361e-03,4.250740e-04,1.343996e-03,6.531150e-04,1.858275e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-16,7.637231e-01,2.811862e-03,4.562780e-04,1.438411e-03,6.867225e-04,1.948390e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-17,7.169731e-01,2.995208e-03,4.844065e-04,1.527899e-03,7.467840e-04,2.018615e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-18,6.807447e-01,3.154609e-03,5.075360e-04,1.619643e-03,7.813860e-04,2.093345e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-19,6.494330e-01,3.306705e-03,5.099310e-04,1.714588e-03,8.223510e-04,2.171395e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-20,6.204509e-01,3.461166e-03,5.293410e-04,1.812783e-03,8.584590e-04,2.251610e-04,
-1.000000e+00,1024,1024,2048,DGEMM,7.516800e-01,5.713824e-03,,,,,
-1.000000e+00,1024,1024,2048,OS2-fast-9,2.004136e+00,2.143052e-03,3.653925e-04,1.224651e-03,3.910830e-04,1.267665e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-10,1.809822e+00,2.373143e-03,4.065565e-04,1.361000e-03,4.327380e-04,1.409020e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-11,1.659859e+00,2.587549e-03,4.432600e-04,1.479991e-03,4.753535e-04,1.558645e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-12,1.516731e+00,2.831727e-03,4.952540e-04,1.626948e-03,5.121795e-04,1.630640e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-13,1.385955e+00,3.098924e-03,5.738145e-04,1.751721e-03,5.651390e-04,1.709345e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-14,1.283704e+00,3.345760e-03,6.377195e-04,1.890084e-03,6.026470e-04,1.789845e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-15,1.201696e+00,3.574088e-03,6.985925e-04,2.010839e-03,6.450595e-04,1.858695e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-16,1.124848e+00,3.818264e-03,7.612625e-04,2.141368e-03,6.847955e-04,1.941980e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-17,1.069510e+00,4.015826e-03,7.915920e-04,2.267806e-03,7.201610e-04,2.017310e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-18,1.016192e+00,4.226532e-03,8.206245e-04,2.402966e-03,7.613685e-04,2.088685e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-19,9.646195e-01,4.452499e-03,8.661495e-04,2.530924e-03,8.025465e-04,2.163440e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-20,9.104771e-01,4.717271e-03,9.420195e-04,2.669292e-03,8.464265e-04,2.249825e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-9,1.871284e+00,2.295197e-03,5.187660e-04,1.217045e-03,3.934755e-04,1.273200e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-10,1.695940e+00,2.532499e-03,5.439535e-04,1.372576e-03,4.363480e-04,1.476315e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-11,1.554699e+00,2.762571e-03,5.907305e-04,1.504478e-03,4.797935e-04,1.552385e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-12,1.435048e+00,2.992908e-03,6.492515e-04,1.636616e-03,5.171020e-04,1.519965e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-13,1.318285e+00,3.257995e-03,7.227730e-04,1.758061e-03,5.691920e-04,1.711705e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-14,1.227115e+00,3.500051e-03,7.805760e-04,1.901693e-03,6.068295e-04,1.789290e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-15,1.147410e+00,3.743184e-03,8.398810e-04,2.034240e-03,6.485055e-04,1.862060e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-16,1.075901e+00,3.991971e-03,9.074320e-04,2.167167e-03,6.873270e-04,1.944155e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-17,1.033548e+00,4.155557e-03,8.999150e-04,2.292255e-03,7.277750e-04,2.013185e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-18,9.749636e-01,4.405259e-03,9.749825e-04,2.423742e-03,7.693160e-04,2.089825e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-19,9.222466e-01,4.657070e-03,1.036156e-03,2.556734e-03,8.094660e-04,2.166570e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-20,8.777380e-01,4.893222e-03,1.093185e-03,2.688814e-03,8.510275e-04,2.244200e-04,
-1.000000e+00,1024,1024,4096,DGEMM,7.544317e-01,1.138597e-02,,,,,
-1.000000e+00,1024,1024,4096,OS2-fast-9,2.557163e+00,3.359165e-03,1.082980e-03,1.737971e-03,3.764125e-04,1.266450e-04,
-1.000000e+00,1024,1024,4096,OS2-fast-10,2.268605e+00,3.786439e-03,1.282439e-03,1.907382e-03,4.195035e-04,1.477220e-04,
-1.000000e+00,1024,1024,4096,OS2-fast-11,2.022883e+00,4.246383e-03,1.494044e-03,2.103199e-03,4.601880e-04,1.556940e-04,
-1.000000e+00,1024,1024,4096,OS2-fast-12,1.833949e+00,4.683846e-03,1.687425e-03,2.291942e-03,5.009320e-04,1.637760e-04,
-1.000000e+00,1024,1024,4096,OS2-fast-13,1.675909e+00,5.125539e-03,1.902472e-03,2.475033e-03,5.404715e-04,1.715500e-04,
-1.000000e+00,1024,1024,4096,OS2-fast-14,1.540808e+00,5.574953e-03,2.109272e-03,2.661552e-03,5.869030e-04,1.795840e-04,
-1.000000e+00,1024,1024,4096,OS2-fast-15,1.425822e+00,6.024551e-03,2.352005e-03,2.831960e-03,6.181140e-04,1.867925e-04,
-1.000000e+00,1024,1024,4096,OS2-fast-16,1.325376e+00,6.481130e-03,2.561262e-03,3.027121e-03,6.640185e-04,1.945385e-04,
-1.000000e+00,1024,1024,4096,OS2-fast-17,1.259026e+00,6.822682e-03,2.675389e-03,3.212627e-03,6.999165e-04,2.014245e-04,
-1.000000e+00,1024,1024,4096,OS2-fast-18,1.189856e+00,7.219306e-03,2.829746e-03,3.410095e-03,7.370315e-04,2.099540e-04,
-1.000000e+00,1024,1024,4096,OS2-fast-19,1.116662e+00,7.692509e-03,3.064628e-03,3.590485e-03,7.896605e-04,2.176145e-04,
-1.000000e+00,1024,1024,4096,OS2-fast-20,1.055810e+00,8.135868e-03,3.271882e-03,3.776547e-03,8.258545e-04,2.259830e-04,
-1.000000e+00,1024,1024,4096,OS2-accu-9,2.407637e+00,3.567787e-03,1.294840e-03,1.723721e-03,3.874245e-04,1.277595e-04,
-1.000000e+00,1024,1024,4096,OS2-accu-10,2.136414e+00,4.020726e-03,1.491288e-03,1.923675e-03,4.217135e-04,1.485895e-04,
-1.000000e+00,1024,1024,4096,OS2-accu-11,1.930442e+00,4.449724e-03,1.694077e-03,2.105553e-03,4.658665e-04,1.454305e-04,
-1.000000e+00,1024,1024,4096,OS2-accu-12,1.750652e+00,4.906706e-03,1.894811e-03,2.309687e-03,5.028380e-04,1.641270e-04,
-1.000000e+00,1024,1024,4096,OS2-accu-13,1.606541e+00,5.346851e-03,2.096860e-03,2.503340e-03,5.399460e-04,1.722870e-04,
-1.000000e+00,1024,1024,4096,OS2-accu-14,1.488320e+00,5.771564e-03,2.295395e-03,2.669406e-03,5.916275e-04,1.795440e-04,
-1.000000e+00,1024,1024,4096,OS2-accu-15,1.384477e+00,6.204463e-03,2.520833e-03,2.839441e-03,6.266195e-04,1.863450e-04,
-1.000000e+00,1024,1024,4096,OS2-accu-16,1.283389e+00,6.693167e-03,2.744471e-03,3.040212e-03,6.749915e-04,1.951520e-04,
-1.000000e+00,1024,1024,4096,OS2-accu-17,1.231880e+00,6.973028e-03,2.797893e-03,3.229226e-03,7.049850e-04,2.023540e-04,
-1.000000e+00,1024,1024,4096,OS2-accu-18,1.154458e+00,7.440667e-03,3.021834e-03,3.421898e-03,7.453785e-04,2.102055e-04,
-1.000000e+00,1024,1024,4096,OS2-accu-19,1.089511e+00,7.884211e-03,3.241673e-03,3.600600e-03,7.911050e-04,2.179370e-04,
-1.000000e+00,1024,1024,4096,OS2-accu-20,1.029101e+00,8.347029e-03,3.445143e-03,3.796663e-03,8.301825e-04,2.259985e-04,
-1.000000e+00,1024,1024,8192,DGEMM,7.561864e-01,2.271909e-02,,,,,
-1.000000e+00,1024,1024,8192,OS2-fast-9,2.486811e+00,6.908392e-03,3.523751e-03,2.865073e-03,3.519915e-04,1.283715e-04,
-1.000000e+00,1024,1024,8192,OS2-fast-10,2.164165e+00,7.938336e-03,4.177930e-03,3.191365e-03,3.867285e-04,1.479430e-04,
-1.000000e+00,1024,1024,8192,OS2-fast-11,1.857274e+00,9.250046e-03,5.121756e-03,3.509372e-03,4.288055e-04,1.556650e-04,
-1.000000e+00,1024,1024,8192,OS2-fast-12,1.655621e+00,1.037669e-02,5.892507e-03,3.827966e-03,4.659575e-04,1.507795e-04,
-1.000000e+00,1024,1024,8192,OS2-fast-13,1.505767e+00,1.140938e-02,6.560741e-03,4.136000e-03,5.055465e-04,1.710490e-04,
-1.000000e+00,1024,1024,8192,OS2-fast-14,1.412586e+00,1.216200e-02,6.959593e-03,4.449344e-03,5.340560e-04,1.797450e-04,
-1.000000e+00,1024,1024,8192,OS2-fast-15,1.330652e+00,1.291086e-02,7.383378e-03,4.714393e-03,5.832085e-04,1.879460e-04,
-1.000000e+00,1024,1024,8192,OS2-fast-16,1.244811e+00,1.380119e-02,7.909439e-03,5.029534e-03,6.219000e-04,1.964090e-04,
-1.000000e+00,1024,1024,8192,OS2-fast-17,1.174372e+00,1.462899e-02,8.383152e-03,5.346092e-03,6.657485e-04,2.036145e-04,
-1.000000e+00,1024,1024,8192,OS2-fast-18,1.167605e+00,1.471377e-02,8.093065e-03,5.675184e-03,6.994665e-04,2.124910e-04,
-1.000000e+00,1024,1024,8192,OS2-fast-19,1.095685e+00,1.567957e-02,8.690915e-03,5.992003e-03,7.398540e-04,2.204045e-04,
-1.000000e+00,1024,1024,8192,OS2-fast-20,1.026133e+00,1.674234e-02,9.381967e-03,6.312066e-03,7.729905e-04,2.283830e-04,
-1.000000e+00,1024,1024,8192,OS2-accu-9,2.342756e+00,7.333187e-03,3.919841e-03,2.891204e-03,3.578440e-04,1.282755e-04,
-1.000000e+00,1024,1024,8192,OS2-accu-10,2.054083e+00,8.363765e-03,4.571665e-03,3.217242e-03,3.949705e-04,1.484865e-04,
-1.000000e+00,1024,1024,8192,OS2-accu-11,1.776617e+00,9.669990e-03,5.510330e-03,3.540071e-03,4.319275e-04,1.448580e-04,
-1.000000e+00,1024,1024,8192,OS2-accu-12,1.588352e+00,1.081616e-02,6.303164e-03,3.857061e-03,4.703085e-04,1.520120e-04,
-1.000000e+00,1024,1024,8192,OS2-accu-13,1.453369e+00,1.182072e-02,6.945579e-03,4.154343e-03,5.098500e-04,1.719695e-04,
-1.000000e+00,1024,1024,8192,OS2-accu-14,1.371467e+00,1.252664e-02,7.335423e-03,4.434728e-03,5.419550e-04,1.785200e-04,
-1.000000e+00,1024,1024,8192,OS2-accu-15,1.297958e+00,1.323608e-02,7.706937e-03,4.726921e-03,5.891155e-04,1.790550e-04,
-1.000000e+00,1024,1024,8192,OS2-accu-16,1.210069e+00,1.419743e-02,8.293671e-03,5.041936e-03,6.261790e-04,1.969315e-04,
-1.000000e+00,1024,1024,8192,OS2-accu-17,1.197381e+00,1.434788e-02,8.086358e-03,5.358404e-03,6.700385e-04,2.044875e-04,
-1.000000e+00,1024,1024,8192,OS2-accu-18,1.134490e+00,1.514326e-02,8.496754e-03,5.695349e-03,7.011510e-04,2.121725e-04,
-1.000000e+00,1024,1024,8192,OS2-accu-19,1.071330e+00,1.603602e-02,9.024183e-03,6.015943e-03,7.421705e-04,2.206925e-04,
-1.000000e+00,1024,1024,8192,OS2-accu-20,1.002622e+00,1.713495e-02,9.768082e-03,6.320830e-03,7.791925e-04,2.286970e-04,
-1.000000e+00,1024,1024,16384,DGEMM,7.558460e-01,4.545865e-02,,,,,
-1.000000e+00,1024,1024,16384,OS2-fast-9,1.809160e+00,1.899209e-02,1.291546e-02,5.564001e-03,3.494580e-04,1.264710e-04,
-1.000000e+00,1024,1024,16384,OS2-fast-10,1.634714e+00,2.101880e-02,1.431080e-02,6.158271e-03,3.887155e-04,1.362970e-04,
-1.000000e+00,1024,1024,16384,OS2-fast-11,1.416148e+00,2.426281e-02,1.685906e-02,6.782555e-03,4.271670e-04,1.558485e-04,
-1.000000e+00,1024,1024,16384,OS2-fast-12,1.236286e+00,2.779270e-02,1.972855e-02,7.422138e-03,4.661465e-04,1.512455e-04,
-1.000000e+00,1024,1024,16384,OS2-fast-13,1.074790e+00,3.196879e-02,2.330928e-02,7.940822e-03,5.069235e-04,1.697580e-04,
-1.000000e+00,1024,1024,16384,OS2-fast-14,9.947098e-01,3.454248e-02,2.522688e-02,8.540093e-03,5.480405e-04,1.791200e-04,
-1.000000e+00,1024,1024,16384,OS2-fast-15,9.309923e-01,3.690658e-02,2.704978e-02,9.048745e-03,5.848260e-04,1.854235e-04,
-1.000000e+00,1024,1024,16384,OS2-fast-16,8.621504e-01,3.985353e-02,2.931123e-02,9.691233e-03,6.237780e-04,1.943970e-04,
-1.000000e+00,1024,1024,16384,OS2-fast-17,7.792202e-01,4.409503e-02,3.282668e-02,1.037086e-02,6.634075e-04,2.014935e-04,
-1.000000e+00,1024,1024,16384,OS2-fast-18,7.728559e-01,4.445814e-02,3.263215e-02,1.091033e-02,7.005295e-04,2.091060e-04,
-1.000000e+00,1024,1024,16384,OS2-fast-19,7.167200e-01,4.794026e-02,3.542470e-02,1.149087e-02,7.424210e-04,2.169400e-04,
-1.000000e+00,1024,1024,16384,OS2-fast-20,6.781971e-01,5.066335e-02,3.747275e-02,1.208284e-02,7.759635e-04,2.248865e-04,
-1.000000e+00,1024,1024,16384,OS2-accu-9,1.731783e+00,1.984067e-02,1.378099e-02,5.550990e-03,3.518115e-04,1.270550e-04,
-1.000000e+00,1024,1024,16384,OS2-accu-10,1.569124e+00,2.189741e-02,1.518391e-02,6.152015e-03,3.892740e-04,1.483095e-04,
-1.000000e+00,1024,1024,16384,OS2-accu-11,1.363267e+00,2.520397e-02,1.780383e-02,6.782206e-03,4.302220e-04,1.493135e-04,
-1.000000e+00,1024,1024,16384,OS2-accu-12,1.194701e+00,2.876012e-02,2.071770e-02,7.377539e-03,4.678545e-04,1.515805e-04,
-1.000000e+00,1024,1024,16384,OS2-accu-13,1.047826e+00,3.279144e-02,2.411942e-02,7.965741e-03,5.089485e-04,1.714720e-04,
-1.000000e+00,1024,1024,16384,OS2-accu-14,9.774166e-01,3.515363e-02,2.591223e-02,8.467916e-03,5.481335e-04,1.747045e-04,
-1.000000e+00,1024,1024,16384,OS2-accu-15,9.137109e-01,3.760460e-02,2.776948e-02,9.038265e-03,5.866635e-04,1.807430e-04,
-1.000000e+00,1024,1024,16384,OS2-accu-16,8.447521e-01,4.067434e-02,3.014765e-02,9.663724e-03,6.250195e-04,1.947645e-04,
-1.000000e+00,1024,1024,16384,OS2-accu-17,8.177684e-01,4.201647e-02,3.083414e-02,1.028023e-02,6.625825e-04,2.012125e-04,
-1.000000e+00,1024,1024,16384,OS2-accu-18,7.535373e-01,4.559793e-02,3.372659e-02,1.091712e-02,7.037485e-04,2.091355e-04,
-1.000000e+00,1024,1024,16384,OS2-accu-19,7.048911e-01,4.874475e-02,3.621112e-02,1.152727e-02,7.420860e-04,2.171555e-04,
-1.000000e+00,1024,1024,16384,OS2-accu-20,6.618582e-01,5.191405e-02,3.880636e-02,1.210027e-02,7.796320e-04,2.249820e-04,
-1.000000e+00,1024,1024,32768,DGEMM,7.557727e-01,9.092612e-02,,,,,
-1.000000e+00,1024,1024,32768,OS2-fast-9,1.805500e+00,3.806119e-02,2.735467e-02,1.013161e-02,4.146470e-04,1.294510e-04,
-1.000000e+00,1024,1024,32768,OS2-fast-10,1.514445e+00,4.537602e-02,3.351545e-02,1.122047e-02,4.607950e-04,1.384180e-04,
-1.000000e+00,1024,1024,32768,OS2-fast-11,1.341306e+00,5.123325e-02,3.818190e-02,1.235616e-02,5.064195e-04,1.597850e-04,
-1.000000e+00,1024,1024,32768,OS2-fast-12,1.208319e+00,5.687197e-02,4.257575e-02,1.353693e-02,5.546765e-04,1.585435e-04,
-1.000000e+00,1024,1024,32768,OS2-fast-13,1.066208e+00,6.445223e-02,4.924685e-02,1.437933e-02,6.072880e-04,1.804775e-04,
-1.000000e+00,1024,1024,32768,OS2-fast-14,9.498523e-01,7.234754e-02,5.599507e-02,1.542030e-02,6.563135e-04,1.891010e-04,
-1.000000e+00,1024,1024,32768,OS2-fast-15,8.416766e-01,8.164594e-02,6.421503e-02,1.653462e-02,6.997665e-04,1.971370e-04,
-1.000000e+00,1024,1024,32768,OS2-fast-16,7.506708e-01,9.154410e-02,7.276282e-02,1.775211e-02,7.469310e-04,2.053180e-04,
-1.000000e+00,1024,1024,32768,OS2-fast-17,6.678821e-01,1.028916e-01,8.301086e-02,1.878488e-02,7.920045e-04,2.127305e-04,
-1.000000e+00,1024,1024,32768,OS2-fast-18,5.849956e-01,1.174701e-01,9.654993e-02,1.984991e-02,8.401295e-04,2.201385e-04,
-1.000000e+00,1024,1024,32768,OS2-fast-19,5.328876e-01,1.289568e-01,1.068850e-01,2.092390e-02,8.845470e-04,2.273110e-04,
